Depth	Speed	Tip	Friction	Pressure	SBT
0.066	2	0.3716	0.21973	-0.09607	5
0.131	2	0.36937	0.22392	-0.09681	5
0.197	2.29	0.37175	0.21719	-0.09771	5
0.262	0.89	0.37124	0.21538	-0.0987	5
0.328	2	0.3731	0.21595	-0.09716	4
0.394	2.29	0.37806	0.21849	-0.09255	5
0.459	2	0.38502	0.22224	-0.08859	5
0.525	2	0.38942	0.22261	-0.09272	5
0.591	2.29	0.39563	0.22461	-0.09181	5
0.656	2	0.40189	0.2253	-0.09424	5
0.722	2.29	0.41205	0.2259	-0.09863	5
0.787	2	0.42416	0.22674	-0.10293	5
0.853	2.29	0.42078	0.23112	-0.10298	5
0.919	2	0.41368	0.23287	-0.1008	5
0.984	2	0.4066	0.23222	-0.10011	5
1.05	2.29	0.40304	0.2435	-0.09935	5
1.115	2	0.4048	0.24823	-0.09872	5
1.181	2	0.42345	0.25162	-0.09823	5
1.247	2.29	0.44879	0.26426	-0.09788	5
1.312	2	0.45812	0.27973	-0.09735	5
1.378	2.29	0.44748	0.28486	-0.09817	5
1.444	2	0.43831	0.28974	-0.10232	5
1.509	2.29	0.43691	0.29496	-0.10415	5
1.575	2	0.43205	0.30369	-0.10493	5
1.64	2.29	0.42068	0.30753	-0.10448	5
1.706	2	0.41353	0.29906	-0.10506	5
1.772	2.29	0.40718	0.291	-0.10273	5
1.837	2	0.40417	0.28408	-0.10253	5
1.903	2	0.40268	0.27782	-0.10155	5
1.969	2.29	0.40297	0.26875	-0.10097	5
2.034	2	0.40123	0.26148	-0.10014	5
2.1	2.29	0.40508	0.26087	-0.09994	5
2.165	2	0.4059	0.26135	-0.09965	5
2.231	2.29	0.40792	0.26169	-0.09912	5
2.297	2	0.40883	0.25998	-0.09958	5
2.362	2	0.40485	0.25646	-0.09986	5
2.428	2.29	0.40426	0.2526	-0.09964	5
2.493	2	0.4169	0.24285	-0.09888	5
2.559	2	0.43832	0.23051	-0.09867	5
2.625	2.29	0.44819	0.22887	-0.0997	5
2.69	2	0.44491	0.23041	-0.10121	5
2.756	2.29	0.43783	0.23515	-0.102	5
2.822	2.21	0.42845	0.23952	-0.10218	5
2.887	2	0.42332	0.24253	-0.10205	5
2.953	2	0.4234	0.24071	-0.10206	5
3.018	2.29	0.42562	0.23461	-0.10251	5
3.084	2	0.428	0.22863	-0.1033	5
3.15	2.29	0.43018	0.22813	-0.10437	5
3.215	2	0.43215	0.22764	-0.10509	5
3.281	0.21	0.43372	0.21718	-0.10542	5
3.346	2	0.43354	0.21664	-0.10553	5
3.412	2.29	0.43658	0.21542	-0.10559	5
3.478	2	0.44764	0.2155	-0.10562	5
3.543	2	0.45967	0.21662	-0.10574	5
3.609	2.29	0.46114	0.21863	-0.10172	5
3.675	2	0.4579	0.22142	-0.1034	5
3.74	2.29	0.45125	0.22434	-0.10084	5
3.806	2	0.44292	0.22516	-0.09607	4
3.871	2	0.43411	0.22697	-0.09548	4
3.937	2.29	0.42503	0.23076	-0.09555	4
4.003	2	0.41439	0.23603	-0.09533	4
4.068	2.29	0.40436	0.23369	-0.09532	4
4.134	2	0.39715	0.22723	-0.09525	4
4.199	2.29	0.39167	0.2253	-0.09477	4
4.265	2	0.38597	0.22587	-0.09433	4
4.331	2	0.38222	0.22457	-0.09294	4
4.396	2.29	0.37984	0.22345	-0.09184	4
4.462	2	0.37881	0.22462	-0.09055	4
4.528	2.29	0.37923	0.22726	-0.08939	4
4.593	2	0.37972	0.23186	-0.08805	4
4.659	2.29	0.38099	0.23641	-0.08699	4
4.724	2	0.38201	0.24159	-0.08661	4
4.79	2.29	0.382	0.244	-0.08631	4
4.856	2	0.38135	0.24517	-0.08603	5
4.921	2.29	0.38022	0.24396	-0.08575	5
4.987	2	0.37986	0.24107	-0.0854	5
5.052	2.29	0.37815	0.2391	-0.0853	5
