Depth	Speed	Tip	Friction	Pressure	SBT
0.02	2.29	0.37404	0.21034	-0.09698	
0.04	2	0.37851	0.21202	-0.09469	
0.06	2.29	0.38382	0.21259	-0.09828	
0.08	2	0.39032	0.21276	-0.09875	
0.1	2	0.39739	0.21363	-0.09844	
0.12	2.29	0.40138	0.21456	-0.10083	
0.14	2	0.40214	0.21476	-0.10413	
0.16	2.29	0.40228	0.21352	-0.10433	
0.18	2	0.39883	0.21304	-0.10041	
0.2	2.29	0.39286	0.21379	-0.09871	
0.22	2	0.38983	0.21382	-0.09857	
0.24	2.29	0.38695	0.216	-0.09851	
0.26	2	0.3827	0.21932	-0.0987	
0.28	2.29	0.37925	0.21981	-0.09864	
0.3	2	0.37751	0.22033	-0.09854	
0.32	2	0.37811	0.22429	-0.09821	
0.34	2.29	0.38183	0.23194	-0.09696	
0.36	2	0.38953	0.24238	-0.09055	
0.38	2.29	0.40351	0.25132	-0.08708	
0.4	1.97	0.42955	0.26533	-0.08212	
0.42	2.29	0.43819	0.27578	-0.07493	
0.44	2	0.44391	0.2866	-0.07763	
0.46	2.29	0.44131	0.28529	-0.0878	
0.48	2	0.4285	0.26889	-0.09799	
0.5	2.29	0.41356	0.2651	-0.10375	
0.52	2	0.40386	0.26108	-0.1043	
0.54	2	0.39756	0.25343	-0.10276	
0.56	2.29	0.39674	0.24846	-0.10123	
0.58	2	0.40429	0.24573	-0.10024	
0.6	2	0.42205	0.24534	-0.09945	
0.62	2.29	0.44118	0.24824	-0.09953	
0.64	2	0.4438	0.24786	-0.10099	
0.66	2.29	0.44083	0.24042	-0.10249	
0.68	2	0.43964	0.23456	-0.10362	
0.7	2.29	0.44724	0.23096	-0.10384	
0.72	2	0.4536	0.23021	-0.10386	
0.74	2	0.45669	0.22751	-0.10459	
0.76	2.29	0.45622	0.22157	-0.10509	
0.78	2	0.45224	0.21675	-0.1026	
0.8	0.18	0.44823	0.20971	-0.10219	
0.82	2.29	0.44385	0.21543	-0.10295	
0.84	2	0.442	0.22113	-0.10264	
0.86	2.29	0.44079	0.22047	-0.10338	
0.88	2	0.43818	0.2193	-0.10363	
0.9	2	0.4364	0.2246	-0.10014	
0.92	2.29	0.42805	0.2273	-0.10338	
0.94	2	0.41978	0.23181	-0.10502	
0.96	2.29	0.41185	0.22771	-0.10534	
0.98	2	0.40277	0.2243	-0.10505	
1	2	0.40784	0.22002	-0.1032	
1.02	2.29	0.42329	0.21449	-0.10256	
1.04	2	0.43692	0.21112	-0.10245	
1.06	2.29	0.44012	0.21133	-0.103	
1.08	2	0.43919	0.21234	-0.10345	
1.1	2	0.43496	0.21479	-0.10349	
1.12	2.29	0.43107	0.21653	-0.10347	
1.14	2	0.42638	0.21953	-0.10353	
1.16	2.29	0.42011	0.22499	-0.10338	
1.18	2	0.41057	0.22583	-0.1039	
1.2	2.29	0.40086	0.22215	-0.10446	
1.22	2	0.39426	0.2213	-0.10467	
1.24	2.29	0.38845	0.21921	-0.1045	
1.26	2	0.38441	0.21639	-0.10409	
1.28	2	0.38206	0.21846	-0.1032	
1.3	2.29	0.38135	0.22144	-0.10251	
1.32	2	0.38078	0.22422	-0.10176	
1.34	2.29	0.3806	0.22654	-0.10131	
1.36	2	0.38124	0.22682	-0.10055	
1.38	2.29	0.3827	0.22783	-0.09978	
1.4	2	0.38306	0.23314	-0.09924	
1.42	2.29	0.38487	0.23698	-0.09876	
1.44	2	0.38725	0.2416	-0.09826	
1.46	2	0.38926	0.2463	-0.09786	
1.48	2.29	0.39058	0.25248	-0.09766	
1.5	2	0.39046	0.25757	-0.09719	
1.52	2	0.39045	0.26111	-0.09689	
1.54	2.29	0.38991	0.26092	-0.0966	
1.56	2	0.38914	0.26062	-0.09676	
1.58	2.25	0.38757	0.26006	-0.09683	
1.6	2	0.38569	0.25738	-0.0969	
1.62	2.29	0.38357	0.25411	-0.09725	
1.64	2	0.38278	0.25038	-0.09757	
1.66	2.29	0.38181	0.24706	-0.09774	
1.68	2	0.38176	0.24303	-0.09775	
1.7	2	0.3813	0.23866	-0.09766	
1.72	2.29	0.38344	0.23872	-0.09735	
1.74	2	0.38794	0.24025	-0.09671	
1.76	0.15	0.38928	0.24237	-0.09638	
1.78	2.29	0.39049	0.24447	-0.09583	
1.8	2	0.39187	0.25113	-0.09551	
1.82	2	0.39243	0.25892	-0.09543	
1.84	2.29	0.39293	0.26461	-0.09538	
1.86	2	0.39254	0.2672	-0.09414	
1.88	2	0.39169	0.26635	-0.0947	
1.9	2.29	0.39174	0.26405	-0.09522	
1.92	2	0.39107	0.26014	-0.09527	
